METDRIMPUL,1-Pull_me_under:8.13
METDRIMTAK,2-Take_the_time:8.20
METDRIMANO,3-Another_day:4.23
METDRIMSUR,4-Surrounder:5.30
METDRIMMET,5-Metropolis_Part:_I_The_miracle_and_the_sleeper:9.32
METDRIMUND,6-Under_the_glass_moon:7.03
METDRIMWAI,7-Wait_for_sleep:2.31
METDRIMLEA,8-Learning_to_live:11.30
METOPDAWIN,1-Windowpane.7.44
METOPDAINM,2-In_my_time_of_need:5.46
METOPDADEA,3-Death_whispered_lullaby:5.49
METOPDACLO,4-Closure:5.15
METOPDAHOP,5-Hope_leaves.4.27
METOPDATOR,6-To_rid_the_disease:6.18
METOPDAEND,7-Ending_credits:3.36
METOPDAWEA,8-Weakness:4.08
METNOMAVER,1-Verne:5.44
METNOMAMEM,2-Memoria_stoica/vetro:6.00
METNOMACRO,3-Croma:7.30
METNOMAREA,4-Reason:5.13
METNOMAAQU,5-Aquamarine:5.47
METNOMAJUL,6-Jules:6.59
METNOMACOM,7-Comedia:5.33
METNOMANOT,8-Nothijngrad:5.41
METNOMATHE,9-The_promise:6.25
METNOMAMAT,10-Materia:6.08
METNOMAGEP,11-Geppetto:6.55
BLUBUVIETU,1-E_tu?:4.45
BLUBUVILAD,2-La_donna-blu:5.54
BLUBUVIDOV,3-Dove:3.36
BLUBUVIDIF,4-Di_fronte_a_te,di_fronte_a_me:3.50
BLUBUVIALL,5-Allacci_e_sleghi:4.01
BLUBUVIPRE,6-Presto_sara'_chi_sono:3.27
BLUBUVICOC,7-Coca:3.15
BLUBUVIEND,8-Enduro:3.57
BLUBUVIIOE,9-Io_il_demone:3.30
BLUBUVICAL,10-Calipso:6.31
BLUROKICRO,1-Cross_road_blues:2.29
BLUROKIHELL,2-Hellhound-on_my_trail:2.34
BLUROKIMEA,3-Me_and_the_devil_blues:2.34
BLUROKISWE,4-Sweet_home_chicago:2.59
BLURARAVE,1-I've-got_woman:2.51
BLURARAHIT,2-Hit_the_road_jack:1.57
BLURARABYE,3-Bye_bye_love:2.11
BLURARAUNC,4-Unchain_my_heart:2.51
BLURARATHE,5-The_right_time:3.19
ROCAFQUQUE,1-Quello_che_non_c'e':6.07
ROCAFQUBYE,2-Bye_bye_bombay:6.14
ROCAFQUSUL,3-Sulle_labbra:4.24
ROCAFQUVAR,4-Varanasi_baby:4.35
ROCAFQUNON,5-Non_sono_immaginario:3.23
ROCAFQULAG,6-La_gente_sta_male:3.18
ROCAFQUBUN,7-Bungee_jumping:6.09
ROCAFQURIT,8-Ritorno_a_casa:3.04
ROCAFQUILM,9-Il_mio_ruolo:7.08
ROCMAILUNA,1-Una_voce_a_orlando:4.04
ROCMAILLAD,2-La ditta_di_acqua_minerale:3.21
ROCMAILAMI,3-Amica_prudenza:4.03
ROCMAILILN,4-Il_nuotatore:3.27
ROCMAILNOS,5-Nostra_signora_del_caso:4.26
ROCMAILLUL,6-L'ultima_notte_del_mondo:3.20
ROCMAILFRE,7-Fred:5.13
ROCMAILMIA,8-Mia_madre_e_la_morte_del_gen.Jose'_Sanjurjo:3.32
ROCMAILVED,9-Vedremo_domani:4.30
ROCDIBRSOF,1-So_far_away:5.08
ROCDIBRMON,2-Money_for_nothing:8.30
ROCDIBRWAL,3-Walk_of_life:4.09
ROCDIBRYOU,4-You_latest_trick:6.33
ROCDIBRWHY,5-Why_worry?:8.29
ROCDIBRRID,6-Ride_across_the_river:7.04
ROCDIBRTHE,7-The_man's_too_strong:4.38
ROCDIBRONE,8-One_world:3.39
ROCDIBRBRO,9-Brothers_in_arms:7.04


